step,Episode_Reward_action_rate_l2,Episode_Reward_joint_limit,Episode_Reward_motion_body_ang_vel,Episode_Reward_motion_body_lin_vel,Episode_Reward_motion_body_ori,Episode_Reward_motion_body_pos,Episode_Reward_motion_global_root_ori,Episode_Reward_motion_global_root_pos,Episode_Reward_self_collisions,Episode_Termination_anchor_ori,Episode_Termination_anchor_pos,Episode_Termination_time_out,Loss_learning_rate,Loss_surrogate,Loss_value_function,Metrics_motion_error_anchor_pos,Metrics_motion_error_anchor_rot,Metrics_motion_error_body_pos,Metrics_motion_error_body_rot,Metrics_motion_error_joint_pos,Perf_total_fps,Policy_mean_noise_std,Train_mean_episode_length,Train_mean_reward
0,-0.07222111523151398,-0.0024304715916514397,0.0001334214466623962,0.003910550847649574,0.004331027157604694,0.011619883589446545,0.004547476302832365,0.006169028114527464,-0.03333132714033127,0.0,0.2916666865348816,2.5,0.0005000000237487257,-0.011999288573861122,0.8129708170890808,0.0755910649895668,0.24167823791503906,0.08739884942770004,0.425212562084198,1.7116106748580933,56046.0,0.9977244138717651,10.420000076293945,-1.3651525974273682
2,-0.11053799092769623,-0.004317197948694229,0.0003086904180236161,0.006479786243289709,0.005683188792318106,0.017422428354620934,0.006021491251885891,0.008661376312375069,-0.048149965703487396,0.5416666865348816,4.833333492279053,0.0,0.000750000006519258,-0.014518368057906628,0.43251287937164307,0.11236488074064255,0.33343005180358887,0.11761285364627838,0.5514797568321228,2.1836915016174316,152254.0,0.9907291531562805,9.930000305175781,-1.0579026937484741
5,-0.0970396026968956,-0.003688606433570385,0.00025127746630460024,0.005578381009399891,0.005498701240867376,0.016130419448018074,0.0057703121565282345,0.00812998041510582,-0.029790563508868217,0.1666666716337204,3.125,0.0,0.00022222222469281405,-0.01386502105742693,0.2048126608133316,0.10315760225057602,0.3223225772380829,0.11332349479198456,0.5466601848602295,2.1884267330169678,151868.0,0.9788397550582886,8.350000381469727,-0.7958991527557373
7,-0.09215755760669708,-0.003516425844281912,0.0002418690564809367,0.005402059759944677,0.005445502698421478,0.015790868550539017,0.005727434065192938,0.007990342564880848,-0.023531511425971985,0.25,3.125,0.0,9.999999747378752e-06,-0.011867770925164223,0.1549750119447708,0.10123932361602783,0.31928330659866333,0.11284210532903671,0.5450480580329895,2.1945149898529053,153943.0,0.9728480577468872,8.789999961853027,-0.7387775778770447
8,-0.0880642980337143,-0.003266704734414816,0.0002210551465395838,0.0051269857212901115,0.005350988358259201,0.015393437817692757,0.0055993180721998215,0.0078108846209943295,-0.020694952458143234,0.25,2.625,0.0,5.062499985797331e-05,-0.00970423873513937,0.12443258613348007,0.09885717928409576,0.3204484283924103,0.11168961971998215,0.5463192462921143,2.203864812850952,154023.0,0.9701678156852722,8.260000228881836,-0.6460978984832764
10,-0.08104084432125092,-0.0029529861640185118,0.00019105867249891162,0.004688378423452377,0.005173634737730026,0.014702586457133293,0.005380371119827032,0.007510332390666008,-0.01571260765194893,0.0833333358168602,1.3333333730697632,0.0,0.00038443360244855285,-0.01374897826462984,0.0806184932589531,0.09536103904247284,0.32034486532211304,0.11047764867544174,0.5480434894561768,2.2106902599334717,154962.0,0.9590282440185547,8.739999771118164,-0.6299514770507812
13,-0.06979824602603912,-0.0023609702475368977,0.00015026259643491358,0.004053560085594654,0.0049960920587182045,0.01375384908169508,0.0051583945751190186,0.007081219460815191,-0.011158773675560951,0.0,0.7083333730697632,0.0,0.00017085937724914402,-0.015283867716789246,0.033107977360486984,0.09020211547613144,0.30880290269851685,0.10823316872119904,0.5473544597625732,2.208505153656006,154950.0,0.9386818408966064,7.320000171661377,-0.47852084040641785
15,-0.06434021890163422,-0.00211706617847085,0.00013769457291346043,0.003778945654630661,0.004939318634569645,0.013362038880586624,0.005054795648902655,0.006900843232870102,-0.009858258068561554,0.0416666679084301,0.3333333432674408,0.0,7.593750342493877e-05,-0.017846133559942245,0.022870436310768127,0.08891467750072479,0.30661413073539734,0.10788214206695557,0.5446242690086365,2.202836036682129,154984.0,0.9226579070091248,7.650000095367432,-0.4059847891330719
16,-0.061482690274715424,-0.0019911671988666058,0.000130508589791134,0.003667421406134963,0.004889806732535362,0.013178463093936443,0.004999610595405102,0.006816720124334097,-0.009281214326620102,0.0,0.125,0.0,0.00011390625149942935,-0.016607342287898064,0.01801224984228611,0.08789525926113129,0.3047376871109009,0.10726137459278107,0.5446264743804932,2.1985881328582764,155667.0,0.9166221022605896,7.25,-0.39735686779022217
17,-0.05927954241633415,-0.0018676500767469406,0.00012873418745584786,0.003589354455471039,0.0048633115366101265,0.013056492432951927,0.004966395441442728,0.006760193966329098,-0.00907856971025467,0.0,0.2083333432674408,0.0,0.0002562890585977584,-0.016403798013925552,0.01867152377963066,0.08718684315681458,0.30279311537742615,0.10701067745685577,0.5451779365539551,2.1974635124206543,155504.0,0.9080438017845154,7.119999885559082,-0.36073556542396545
