step,Train/mean_reward,Train/mean_episode_length,Loss/value_function,Loss/surrogate,Loss/learning_rate,Policy/mean_noise_std,Episode_Reward/motion_body_pos,Episode_Reward/motion_body_ori,Episode_Reward/motion_body_lin_vel,Episode_Reward/motion_body_ang_vel,Episode_Reward/motion_global_root_pos,Episode_Reward/motion_global_root_ori,Episode_Reward/action_rate_l2,Episode_Reward/joint_limit,Episode_Reward/self_collisions,Metrics/motion/error_anchor_pos,Metrics/motion/error_anchor_rot,Metrics/motion/error_body_pos,Metrics/motion/error_body_rot,Metrics/motion/error_joint_pos,Episode_Termination/time_out,Episode_Termination/anchor_pos,Episode_Termination/anchor_ori,Perf/total_fps
2,-1.0455955266952515,9.520000457763672,0.4335537552833557,-0.013148165307939053,0.00014814814494457096,0.9929822087287903,0.016600968316197395,0.005663995631039143,0.005631034728139639,0.0002443379198666662,0.008459789678454399,0.00574382534250617,-0.10492967814207077,-0.004421474877744913,-0.03283044695854187,0.10579586029052734,0.3599078059196472,0.11710421741008759,0.610885739326477,2.037120819091797,0.0,2.2916667461395264,0.6666666865348816,103087.0
5,-0.8165183663368225,9.350000381469727,0.25217974185943604,-0.00859772227704525,9.999999747378752e-06,0.9868597388267517,0.015851877629756927,0.005537764169275761,0.005133682396262884,0.00021829968318343163,0.008107713423669338,0.0056026410311460495,-0.09649374336004257,-0.003971935715526342,-0.02124234288930893,0.10233943909406662,0.3498254418373108,0.11517046391963959,0.6013644933700562,2.0250725746154785,0.0,1.6666667461395264,0.7916666865348816,103344.0
7,-0.5759301781654358,8.119999885559082,0.21507519483566284,-0.007723269984126091,9.999999747378752e-06,0.9819799661636353,0.015241984277963638,0.005375118460506201,0.004771123640239239,0.00019353341485839337,0.00785689614713192,0.005497368983924389,-0.09030958265066147,-0.003728626063093543,-0.01341469120234251,0.0977373719215393,0.3407253921031952,0.11385145038366318,0.5988485813140869,2.0319056510925293,0.0,1.625,0.6666666865348816,105157.0
15,-0.3759698271751404,6.889999866485596,0.0714339092373848,-0.009086241945624352,7.593750342493877e-05,0.9522045850753784,0.013464726507663727,0.004956169985234737,0.003595195710659027,0.00013035237498115748,0.007006405852735043,0.005012199282646179,-0.0700252503156662,-0.0026794630102813244,-0.005276977084577084,0.08949314057826996,0.32480037212371826,0.11009377241134644,0.5883427858352661,2.0136938095092773,0.0,0.5833333730697632,0.0833333358168602,104170.0
16,-0.3858056366443634,7.010000228881836,0.03900926560163498,-0.013493778184056282,7.593750342493877e-05,0.9480876922607422,0.01339820958673954,0.004969225265085697,0.0035556124057620764,0.00012804240395780653,0.006962385028600693,0.004993544891476631,-0.06862286478281021,-0.002673603128641844,-0.003815844189375639,0.09012224525213242,0.32376644015312195,0.1097840964794159,0.5852414965629578,2.00217604637146,0.0,0.375,0.125,105133.0
17,-0.43672293424606323,7.860000133514404,0.04225698485970497,-0.013300331309437752,0.0002562890585977584,0.941635012626648,0.013301720842719078,0.004931309260427952,0.0034920014441013336,0.00012657347542699426,0.006925564259290695,0.004951617680490017,-0.06690928339958191,-0.002572729717940092,-0.003561250399798155,0.08850672096014023,0.32390326261520386,0.10952901840209961,0.5865933299064636,1.9998486042022705,0.0,0.25,0.25,103049.0
21,-0.33688071370124817,7.309999942779541,0.04363984987139702,-0.0064569031819701195,9.999999747378752e-06,0.9272775053977966,0.012788577005267143,0.004809916950762272,0.003229103982448578,0.00011439958325354382,0.006670491769909859,0.004815760999917984,-0.05958685278892517,-0.0022325636819005013,-0.0028645868878811598,0.08544811606407166,0.3142735958099365,0.1072906106710434,0.5821363925933838,1.980852484703064,0.0,0.3333333432674408,0.2083333432674408,104385.0
22,-0.2912810444831848,6.920000076293945,0.06369007378816605,-0.005580193363130093,9.999999747378752e-06,0.9250467419624329,0.012682786211371422,0.004786239005625248,0.003143608570098877,0.00010957730410154909,0.006617614068090916,0.004787388723343611,-0.05838284641504288,-0.002207584213465452,-0.003092784434556961,0.08588524907827377,0.3133029639720917,0.10768608748912811,0.5819816589355469,1.9814752340316772,0.0,0.2083333432674408,0.25,105727.0
23,-0.29247045516967773,6.869999885559082,0.035978544503450394,-0.007622965611517429,7.593750342493877e-05,0.9225471615791321,0.012542451731860638,0.004765941761434078,0.0030829559545964003,0.00010632627527229488,0.006549003534018993,0.004751791246235371,-0.05716891214251518,-0.002192853018641472,-0.002612513490021229,0.08492355048656464,0.31090039014816284,0.10722529888153076,0.5794363021850586,1.977829933166504,0.0,0.2083333432674408,0.2916666865348816,104783.0
28,-0.2315654456615448,6.369999885559082,0.02270996943116188,-0.008248030208051205,0.00017085937724914402,0.901633620262146,0.012174859642982483,0.004702103324234486,0.0028919759206473827,9.980449976865202e-05,0.006358870770782232,0.004654726013541222,-0.05085655301809311,-0.0019024059874936938,-0.002205468248575926,0.08307752758264542,0.30470484495162964,0.10562704503536224,0.5753774046897888,1.9573676586151123,0.0,0.0,0.2916666865348816,106061.0
30,-0.2206263244152069,6.730000019073486,0.02189924567937851,-0.009301753714680672,5.062499985797331e-05,0.8941069841384888,0.012040851637721062,0.004657243378460407,0.0028297342360019684,9.63862330536358e-05,0.006292903330177069,0.0046313451603055,-0.048623308539390564,-0.0017981112468987703,-0.0016408676747232676,0.08230002224445343,0.3006160855293274,0.10506857931613922,0.5764145851135254,1.9603040218353271,0.0,0.0,0.3333333432674408,106157.0
32,-0.21151331067085266,6.849999904632568,0.014502878300845623,-0.010650871321558952,0.00017085937724914402,0.8873116374015808,0.011976785957813263,0.004648664500564337,0.0027876850217580795,9.527036309009418e-05,0.006263785995543003,0.004629615228623152,-0.04714581370353699,-0.001727311871945858,-0.00179121526889503,0.08147622644901276,0.29773616790771484,0.10488149523735046,0.5760514736175537,1.959882140159607,0.0,0.1666666716337204,0.75,105820.0
37,-0.14256562292575836,6.420000076293945,0.02888237126171589,-0.005050394218415022,3.3749998692655936e-05,0.8734168410301208,0.011766411364078522,0.00465036928653717,0.0027173347771167755,9.789151226868853e-05,0.006149654276669025,0.004598441533744335,-0.0430680513381958,-0.0014713791897520423,-0.0019960617646574974,0.08103621751070023,0.2910170555114746,0.1040644645690918,0.5722613334655762,1.9565587043762207,0.0,0.1666666716337204,0.625,106460.0
39,-0.13777197897434235,6.440000057220459,0.035216912627220154,-0.0021773765329271555,9.999999747378752e-06,0.8654301762580872,0.011769717559218407,0.004655481316149235,0.0027231178246438503,9.966723155230284e-05,0.006148732732981443,0.004594340454787016,-0.041863709688186646,-0.0014463018160313368,-0.0015121110482141376,0.08131934702396393,0.2919495701789856,0.10421033948659897,0.572816014289856,1.9634169340133667,0.0,0.1666666716337204,0.4166666865348816,106060.0
42,-0.20062404870986938,6.260000228881836,0.016308506950736046,-0.0057755811139941216,9.999999747378752e-06,0.8577447533607483,0.011683458462357521,0.004618646577000618,0.0026721374597400427,9.702078386908397e-05,0.006108101457357407,0.004601185210049152,-0.04025443643331528,-0.0013067878317087889,-0.0013366795610636473,0.08082465827465057,0.2870640158653259,0.10410279035568237,0.5729545950889587,1.9691128730773926,0.0,0.2083333432674408,0.5,106425.0
49,-0.09868169575929642,6.619999885559082,0.012862143106758595,-0.006822836119681597,0.00011390625149942935,0.8450680375099182,0.011557376012206078,0.004620151128619909,0.0026396336033940315,0.0001015293673845008,0.006043217144906521,0.004588971845805645,-0.03727547824382782,-0.0012072297977283597,-0.0012457796838134527,0.07998745888471603,0.28214770555496216,0.10349222272634506,0.5736547708511353,1.9802913665771484,0.0,0.2916666865348816,0.3333333432674408,105841.0
51,-0.18272900581359863,6.239999771118164,0.008830705657601357,-0.008549259975552559,0.00011390625149942935,0.8404983878135681,0.011563091538846493,0.004624770022928715,0.0026354705914855003,0.00010249757906422019,0.006049789488315582,0.004590905737131834,-0.03662450239062309,-0.0012237634509801865,-0.001665741205215454,0.07992547005414963,0.28230178356170654,0.10358300060033798,0.5734488368034363,1.9820842742919922,0.0,0.1666666716337204,0.5416666865348816,105512.0
52,-0.11320409178733826,6.760000228881836,0.017428705468773842,-0.005341899581253529,1.4999999621068127e-05,0.8382183313369751,0.0115799680352211,0.004638227168470621,0.002642565406858921,0.00010456830204930156,0.006056699901819229,0.004597808234393597,-0.03632519766688347,-0.001183291315101087,-0.0013649745378643274,0.07990103960037231,0.283449649810791,0.10379749536514282,0.5745508074760437,1.9911749362945557,0.0,0.3333333432674408,0.2083333432674408,105664.0
56,-0.06483246386051178,6.239999771118164,0.008615025319159031,-0.007635642774403095,2.2500000341096893e-05,0.8308512568473816,0.011570989154279232,0.004665510728955269,0.0026531978510320187,0.00010922300134552643,0.006048134528100491,0.004604784771800041,-0.03504471853375435,-0.001110228942707181,-0.0013481503119692206,0.08012543618679047,0.281535804271698,0.10370928049087524,0.5732332468032837,1.988776683807373,0.0,0.2083333432674408,0.1666666716337204,106008.0
66,-0.036757707595825195,6.570000171661377,0.04328623786568642,-0.002692614682018757,9.999999747378752e-06,0.8134451508522034,0.011613215319812298,0.00472062174230814,0.0027091926895081997,0.00011971073399763554,0.006070348899811506,0.004663047380745411,-0.0328211635351181,-0.0010080535430461168,-0.0020079119130969048,0.08120767772197723,0.2779718339443207,0.10449384152889252,0.5733300447463989,1.9945969581604004,0.0,0.2083333432674408,0.3333333432674408,106120.0
67,-0.046045370399951935,6.5,0.015560359694063663,-0.005524829030036926,0.00011390625149942935,0.8117613196372986,0.011595919728279114,0.004715382121503353,0.002694159746170044,0.00011865625128848478,0.0060605332255363464,0.004667197819799185,-0.032693322747945786,-0.0010292727965861559,-0.0013775558909401298,0.08126350492238998,0.27601832151412964,0.10436906665563583,0.5737637281417847,1.993104338645935,0.0,0.4166666865348816,0.0833333358168602,106718.0
69,-0.03022160939872265,6.53000020980835,0.0472559779882431,-0.002924520755186677,9.999999747378752e-06,0.80887770652771,0.011656283400952816,0.004748498555272818,0.002728594234213233,0.00012435636017471552,0.006090804934501648,0.004688476677983999,-0.032455720007419586,-0.0010067097609862685,-0.002435044851154089,0.08156560361385345,0.2784947156906128,0.10476706922054291,0.5748597383499146,1.99588942527771,0.0,0.2916666865348816,0.2083333432674408,107051.0
72,-0.03361286595463753,6.409999847412109,0.01498408056795597,-0.004241710063070059,9.999999747378752e-06,0.805712103843689,0.011713147163391113,0.004792208783328533,0.0027775203343480825,0.00012636900646612048,0.006116875912994146,0.004725863225758076,-0.03215662017464638,-0.0010046851821243763,-0.001576684764586389,0.08161935210227966,0.2761673033237457,0.10442053526639938,0.5717775225639343,1.9847526550292969,0.0,0.375,0.2083333432674408,107019.0
78,-0.044721994549036026,6.449999809265137,0.03489505872130394,-0.0028200254309922457,1.4999999621068127e-05,0.7971437573432922,0.011864278465509415,0.004871176090091467,0.0028563649393618107,0.00013785657938569784,0.006192917935550213,0.004796911031007767,-0.031652528792619705,-0.0009388190228492022,-0.0016943556256592274,0.08293978869915009,0.27625951170921326,0.10565774887800217,0.5739473104476929,1.9997098445892334,0.0,0.875,0.0833333358168602,103967.0
81,-0.024255501106381416,6.619999885559082,0.009892133064568043,-0.006531983148306608,1.4999999621068127e-05,0.7912779450416565,0.011914494447410107,0.004899431951344013,0.0029059015214443207,0.000142459204653278,0.0062144058756530285,0.0048374999314546585,-0.031302470713853836,-0.0009328988380730152,-0.0012387712486088276,0.0826440379023552,0.273263543844223,0.1052265465259552,0.5707933306694031,1.9963123798370361,0.0,0.25,0.1666666716337204,105948.0
82,-0.010272949934005737,6.639999866485596,0.0475417859852314,-0.00244034337811172,9.999999747378752e-06,0.7903060913085938,0.011925849132239819,0.0049222600646317005,0.0029061916284263134,0.0001457812322769314,0.006220014300197363,0.004858288448303938,-0.03112255036830902,-0.0008953994838520885,-0.0019429016392678022,0.0829293429851532,0.2711428999900818,0.10538914799690247,0.5693036913871765,1.99302077293396,0.0,0.5416666865348816,0.2083333432674408,106152.0
84,-0.03269549459218979,6.480000019073486,0.014802182093262672,-0.004521133843809366,9.999999747378752e-06,0.7882426381111145,0.011972504667937756,0.004938471596688032,0.0029385013040155172,0.00014927370648365468,0.006244776304811239,0.0048648398369550705,-0.03094433806836605,-0.0009069615043699741,-0.0014254598645493388,0.08253951370716095,0.27294236421585083,0.1052839383482933,0.5703696012496948,2.0018067359924316,0.0,0.5416666865348816,0.0833333358168602,106947.0
85,-0.021885830909013748,6.320000171661377,0.05709751695394516,-0.0022767414338886738,9.999999747378752e-06,0.7876356244087219,0.011936250142753124,0.004931908566504717,0.0029335280414670706,0.0001492626906838268,0.006229892373085022,0.004860494751483202,-0.03078608214855194,-0.0009240065701305866,-0.0019113861490041018,0.08211329579353333,0.27088794112205505,0.10506229847669601,0.5694266557693481,1.994689702987671,0.0,0.5833333730697632,0.2083333432674408,105794.0
89,-0.0152141647413373,6.539999961853027,0.018039507791399956,-0.004272394813597202,2.2500000341096893e-05,0.7830122113227844,0.01205279678106308,0.004971250891685486,0.0029877936467528343,0.00015653485024813563,0.0062848529778420925,0.004914934281259775,-0.03068498894572258,-0.0008840325172059238,-0.001699039014056325,0.08328777551651001,0.27097436785697937,0.10561244934797287,0.5707708597183228,2.0011563301086426,0.0,0.7083333730697632,0.2916666865348816,106612.0
94,-0.0038228794001042843,6.920000076293945,0.020177975296974182,-0.003812304697930813,9.999999747378752e-06,0.7762922048568726,0.012226465158164501,0.005050232633948326,0.0031084991060197353,0.00016749603673815727,0.006372014991939068,0.004973771050572395,-0.030550701543688774,-0.0008605780894868076,-0.0014583891024813056,0.08395542204380035,0.27264827489852905,0.10592895746231079,0.5706621408462524,2.0018696784973145,0.0,0.4166666865348816,0.0833333358168602,106568.0
95,-0.04766811057925224,6.760000228881836,0.010971459560096264,-0.005531382281333208,2.2500000341096893e-05,0.7751651406288147,0.012206844054162502,0.005042814649641514,0.003103947965428233,0.00016633594350423664,0.006357165053486824,0.0049833329394459724,-0.030365198850631714,-0.000873164739459753,-0.0013308472698554397,0.08400402963161469,0.270178884267807,0.10572429746389389,0.5705599784851074,2.0067248344421387,0.0,1.0,0.3333333432674408,104286.0
96,0.001462643500417471,6.909999847412109,0.0060029407031834126,-0.009111134335398674,0.00011390625149942935,0.7721120715141296,0.012280396185815334,0.005082864314317703,0.0031546885147690773,0.00017328921239823103,0.006394311785697937,0.005007061176002026,-0.030467133969068527,-0.0008969699847511947,-0.001179234590381384,0.08441583812236786,0.27186042070388794,0.10605716705322266,0.5690578818321228,1.995405673980713,0.0,0.75,0.1666666716337204,107793.0
