step,Episode_Reward_action_rate_l2,Episode_Reward_joint_limit,Episode_Reward_motion_body_ang_vel,Episode_Reward_motion_body_lin_vel,Episode_Reward_motion_body_ori,Episode_Reward_motion_body_pos,Episode_Reward_motion_global_root_ori,Episode_Reward_motion_global_root_pos,Episode_Reward_self_collisions,Episode_Termination_anchor_ori,Episode_Termination_anchor_pos,Episode_Termination_ee_body_pos,Episode_Termination_time_out,Loss_entropy,Loss_learning_rate,Loss_surrogate,Loss_value_function,Metrics_motion_error_anchor_ang_vel,Metrics_motion_error_anchor_lin_vel,Metrics_motion_error_anchor_pos,Metrics_motion_error_anchor_rot,Metrics_motion_error_body_ang_vel,Metrics_motion_error_body_lin_vel,Metrics_motion_error_body_pos,Metrics_motion_error_body_rot,Metrics_motion_error_joint_pos,Metrics_motion_error_joint_vel,Metrics_motion_sampling_entropy,Metrics_motion_sampling_top1_bin,Metrics_motion_sampling_top1_prob,Perf_collection time,Perf_learning_time,Perf_total_fps,Policy_mean_noise_std,Train_mean_episode_length,Train_mean_episode_length_time,Train_mean_reward,Train_mean_reward_time
2,-0.13395068049430847,-0.0050499411299824715,0.00042404455598443747,0.009111753664910793,0.006277540232986212,0.020947447046637535,0.00709003210067749,0.01034557819366455,-0.059795599430799484,0.1666666716337204,5.708333492279053,336.125,0.0,40.897308349609375,0.00033333332976326346,-0.015382558107376099,0.462559312582016,3.669495105743408,0.8639497756958008,0.13822154700756073,0.3767540156841278,,,0.1286073625087738,0.5999252796173096,2.0921950340270996,23.729297637939453,0.9899406433105469,0.1944444626569748,0.04104679450392723,0.602461576461792,0.05410408973693848,149724.0,0.9902649521827698,10.899999618530273,,-1.2087687253952026,
3,,,,,,,,,,,,,,,,,,,,,,6.744235038757324,1.0498014688491821,,,,,,,,,,,,,10.899999618530273,,-1.2087687253952026
5,-0.12155532836914062,-0.0043771713972091675,0.0003813919611275196,0.008340678177773952,0.0061299800872802734,0.01986732706427574,0.0069586895406246185,0.009881207719445229,-0.03903797268867493,0.3333333432674408,4.375,362.0,0.0,40.62461471557617,1.9509221601765603e-05,-0.012386552058160305,0.23197413980960846,3.632105827331543,0.8721773028373718,0.1319325566291809,0.36063849925994873,,,0.12559382617473602,0.5943853855133057,2.10163950920105,23.662090301513672,0.9865367412567139,0.1944444626569748,0.040572620928287506,0.6000916957855225,0.05354619026184082,150395.0,0.9812542200088501,11.220000267028809,11.220000267028809,-1.1684577465057373,-1.1684577465057373
6,,,,,,,,,,,,,,,,,,,,,,6.722529411315918,1.060372233390808,,,,,,,,,,,,,9.90999984741211,,-0.8090243339538574
7,-0.10947554558515549,-0.0037876497954130173,0.00031403370667248964,0.007296332158148289,0.005880753509700298,0.01840813271701336,0.006579789333045483,0.009246625006198883,-0.028687093406915665,0.25,3.0833334922790527,393.9583435058594,0.0,40.49235153198242,9.999999747378752e-06,-0.009929360821843147,0.1609731912612915,3.6533732414245605,0.8724188804626465,0.1241253912448883,0.3507051169872284,,,0.12270962446928024,0.5891422033309937,2.1035382747650146,23.866104125976562,0.9853432178497314,0.21990740299224854,0.04009242355823517,0.5961956977844238,0.05274200439453125,151484.0,0.9765535593032837,9.90999984741211,,-0.8090243339538574,
8,,,,,,,,,,,,,,,,,,,,,,6.797820091247559,1.0822932720184326,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.889999866485596,,-0.516139030456543
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.860000133514404,,-0.45540714263916016
15,-0.07573214173316956,-0.002383911283686757,0.00013637887605000287,0.004318748135119677,0.005133649799972773,0.01450527273118496,0.005457682069391012,0.007479753345251083,-0.014514317736029625,0.0,0.0833333358168602,509.41668701171875,0.0,39.68988800048828,0.00017085937724914402,-0.017921455204486847,0.02064993791282177,4.000329494476318,0.9748636484146118,0.10462896525859833,0.330048531293869,,,0.11648619174957275,0.578683078289032,2.096144437789917,24.598125457763672,0.9840521812438965,0.8055555820465088,0.040122147649526596,0.5829424858093262,0.05331087112426758,154504.0,0.9481753706932068,7.889999866485596,7.320000171661377,-0.516139030456543,-0.40847334265708923
16,-0.07268188893795013,-0.00225279713049531,0.0001297405979130417,0.004189371131360531,0.00508035346865654,0.014300316572189331,0.005362765397876501,0.0073760985396802425,-0.014095505699515343,0.0,0.125,516.8333740234375,0.0,39.47999572753906,0.00017085937724914402,-0.019133972004055977,0.01576351560652256,4.035592079162598,0.9857868552207947,0.10371719300746918,0.32966431975364685,7.164972305297852,1.2189810276031494,0.11550378799438477,0.5780119299888611,2.0925092697143555,24.643720626831055,0.9840080738067627,0.4490740895271301,0.039977431297302246,0.5834596157073975,0.05190587043762207,154720.0,0.9411917328834534,8.369999885559082,7.28000020980835,-0.5377187728881836,-0.3761860728263855
17,-0.06938198208808899,-0.002161141252145171,0.0001235587988048792,0.004063423257321119,0.0050506084226071835,0.014091720804572105,0.0052922386676073074,0.007276884280145168,-0.014169475063681602,0.0,0.125,526.9166870117188,0.0,39.26352310180664,0.00017085937724914402,-0.01853051409125328,0.01614776998758316,4.059341907501221,0.9887762069702148,0.10147108882665634,0.32907530665397644,7.1865386962890625,1.2285536527633667,0.11422788351774216,0.5764443278312683,2.0855512619018555,24.6674861907959,0.9840389490127563,0.2708333432674408,0.03983835503458977,0.5766410827636719,0.05239987373352051,156275.0,0.9342265725135803,7.860000133514404,,-0.45540714263916016,
18,,,,,,,,,,,,,,,,,,,,,,7.199731826782227,1.2408788204193115,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.340000152587891,,-0.2710738480091095
21,-0.06071463227272034,-0.0018379886168986559,0.00011019928933819756,0.003784606931731105,0.0049556042067706585,0.013648442924022675,0.005187103524804115,0.007061910815536976,-0.012996537610888481,0.0,0.0833333358168602,542.2916870117188,0.0,38.398216247558594,0.00011390625149942935,-0.01789924129843712,0.011644473299384117,4.147310733795166,1.0064647197723389,0.09882047027349472,0.3220956325531006,,,0.11265110224485397,0.5752070546150208,2.0827813148498535,24.768178939819336,0.9841296672821045,0.2361111342906952,0.039709873497486115,0.583627462387085,0.053815364837646484,154216.0,0.9055858254432678,7.260000228881836,7.150000095367432,-0.35445040464401245,-0.2610856592655182
22,-0.058190032839775085,-0.001742579392157495,0.00010613880294840783,0.0036987322382628918,0.004931149072945118,0.013493608683347702,0.005144183523952961,0.006981269922107458,-0.012634600512683392,0.0,0.0,547.5833740234375,0.0,38.13960647583008,0.00017085937724914402,-0.01870768889784813,0.011686052195727825,4.1146650314331055,1.009098768234253,0.09821097552776337,0.31835275888442993,7.284480094909668,1.2620627880096436,0.11217178404331207,0.5747458338737488,2.0789754390716553,24.758331298828125,0.9841784238815308,0.3611111342906952,0.03969113156199455,0.5805110931396484,0.05271434783935547,155243.0,0.8980257511138916,7.320000171661377,7.119999885559082,-0.40847334265708923,-0.22850623726844788
23,-0.0563175193965435,-0.0016041016206145287,0.00010604322596918792,0.0036588553339242935,0.004908226430416107,0.01344507746398449,0.005137910600751638,0.006958913058042526,-0.013090978376567364,0.0,0.0,551.4166870117188,0.0,37.88914489746094,0.00017085937724914402,-0.018929636105895042,0.010997803881764412,4.138509273529053,1.0129278898239136,0.09821473062038422,0.31745249032974243,7.291743278503418,1.2664172649383545,0.1122238039970398,0.5748109817504883,2.086649179458618,24.729473114013672,0.9842857718467712,0.5277777910232544,0.039673104882240295,0.5772380828857422,0.05530595779418945,155410.0,0.8903599977493286,7.28000020980835,,-0.3761860728263855,
24,,,,,,,,,,,,,,,,,,,,,,7.3291335105896,1.2686502933502197,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.840000152587891,,-0.1554950326681137
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.010000228881836,,-0.163680300116539
28,-0.048182498663663864,-0.001357637345790863,0.0001027113976306282,0.003531620604917407,0.004872575402259827,0.013122248463332653,0.00508631719276309,0.006794065237045288,-0.012012429535388947,0.0,0.0,566.5,0.0,36.70197677612305,0.0002562890585977584,-0.01886090636253357,0.008004949428141117,4.191829204559326,1.0124032497406006,0.09477798640727997,0.3058871030807495,,,0.10955400764942169,0.5706093311309814,2.0747487545013428,24.826854705810547,0.9841952323913574,0.5277777910232544,0.0404004342854023,0.5741369724273682,0.054840087890625,156291.0,0.8544078469276428,7.340000152587891,7.0,-0.2710738480091095,-0.1279442012310028
29,,,,,,,,,,,,,,,,,,,,,,7.3925371170043945,1.2807670831680298,,,,,,,,,,,,,,,
