step,Train/mean_reward,Train/mean_episode_length,Loss/value_function,Loss/surrogate,Loss/learning_rate,Policy/mean_noise_std,Episode_Reward/motion_body_pos,Episode_Reward/motion_body_ori,Episode_Reward/motion_body_lin_vel,Episode_Reward/motion_body_ang_vel,Episode_Reward/motion_global_root_pos,Episode_Reward/motion_global_root_ori,Episode_Reward/action_rate_l2,Episode_Reward/joint_limit,Episode_Reward/self_collisions,Metrics/motion/error_anchor_pos,Metrics/motion/error_anchor_rot,Metrics/motion/error_body_pos,Metrics/motion/error_body_rot,Metrics/motion/error_joint_pos,Episode_Termination/time_out,Episode_Termination/anchor_pos,Episode_Termination/anchor_ori,Perf/total_fps
2,-0.8978278040885925,8.960000038146973,0.5088935494422913,-0.013510706834495068,0.0005000000237487257,0.9953969120979309,0.01602454110980034,0.00533206295222044,0.0051485709846019745,0.0002196110290242359,0.008195538073778152,0.005582249723374844,-0.1015583723783493,-0.00451568141579628,-0.03274248540401459,0.10227836668491364,0.3517087399959564,0.12005718797445297,0.6066524982452393,2.0953292846679688,0.0,2.0416667461395264,0.2083333432674408,103214.0
5,-0.7717044353485107,9.289999961853027,0.3014756441116333,-0.009786705486476421,1.9509221601765603e-05,0.9882756471633911,0.01558908075094223,0.0052868700586259365,0.004881218075752258,0.00020689473603852093,0.007991259917616844,0.005536643322557211,-0.09583654254674911,-0.004050846211612225,-0.02365901693701744,0.10086476057767868,0.34576529264450073,0.11901900172233582,0.6021891236305237,2.0892815589904785,0.0,2.5416667461395264,0.375,104232.0
7,-0.714737594127655,9.15999984741211,0.32764336466789246,-0.009530491195619106,4.38957467849832e-05,0.9828880429267883,0.015366652980446815,0.00526826037093997,0.004753363784402609,0.00020478978694882244,0.00789796095341444,0.005491865798830986,-0.09227579832077026,-0.003916506189852953,-0.018147217109799385,0.09895201772451401,0.3422921597957611,0.11876086890697479,0.6011730432510376,2.095975875854492,0.0,1.75,0.4166666865348816,104030.0
15,-0.4992899000644684,8.100000381469727,0.09679928421974182,-0.010221710428595543,1.9509221601765603e-05,0.9433320164680481,0.013588442467153072,0.004934164695441723,0.0036749145947396755,0.0001510292204329744,0.007059999741613865,0.005053464323282242,-0.07010697573423386,-0.0027064017485827208,-0.005765951704233885,0.0902600809931755,0.3238334655761719,0.11413096636533737,0.590119481086731,2.0763144493103027,0.0,0.5833333730697632,0.0416666679084301,105426.0
16,-0.46332013607025146,7.809999942779541,0.05244909226894379,-0.011464210227131844,0.00022222222469281405,0.9383155703544617,0.013534562662243843,0.004916571080684662,0.0036347638815641403,0.00014841073425486684,0.007045130245387554,0.005008912645280361,-0.06855422258377075,-0.0026304866187274456,-0.004855811595916748,0.08970590680837631,0.32755476236343384,0.11433163285255432,0.5894579887390137,2.0710558891296387,0.0,0.375,0.125,104998.0
17,-0.47290876507759094,7.760000228881836,0.046925224363803864,-0.015051756054162979,2.9263832402648404e-05,0.9318430423736572,0.013417281210422516,0.004913808312267065,0.0035653167869895697,0.0001445169182261452,0.006989002227783203,0.004990540444850922,-0.06678488850593567,-0.0025811854284256697,-0.004193165339529514,0.08926887810230255,0.3250983655452728,0.11403846740722656,0.5873950719833374,2.0646796226501465,0.0,0.6666666865348816,0.0833333358168602,105478.0
21,-0.35888996720314026,7.550000190734863,0.028396708890795708,-0.014781255275011063,9.876543481368572e-05,0.908252477645874,0.012833118438720703,0.004814818501472473,0.003223571926355362,0.00012545801291707903,0.006709547247737646,0.004845032002776861,-0.05786558985710144,-0.0020854114554822445,-0.0027066352777183056,0.08614611625671387,0.31483107805252075,0.11236321926116943,0.5837458372116089,2.053668737411499,0.0,0.125,0.0833333358168602,105252.0
22,-0.26587986946105957,7.039999961853027,0.02337649278342724,-0.014394501224160194,9.876543481368572e-05,0.9030779004096985,0.012748844921588898,0.004815755877643824,0.003186791902408004,0.00012534120469354093,0.00666899885982275,0.004807427991181612,-0.056206248700618744,-0.0020403484813869,-0.0023059570230543613,0.0855228453874588,0.3161184787750244,0.11188765615224838,0.5832705497741699,2.042724609375,0.0,0.25,0.2083333432674408,105816.0
23,-0.2511351704597473,7.179999828338623,0.017095468938350677,-0.017095018178224564,9.876543481368572e-05,0.8967120051383972,0.012632174417376518,0.004791557788848877,0.0031387375202029943,0.00012185420928290114,0.006607986520975828,0.004774404224008322,-0.05441129952669144,-0.0019693253561854362,-0.001924782758578658,0.0849287360906601,0.3140433430671692,0.11138522624969482,0.5814806222915649,2.0421814918518066,0.0,0.125,0.2083333432674408,105390.0
28,-0.16712592542171478,6.460000038146973,0.012670554220676422,-0.01584472507238388,9.876543481368572e-05,0.8681285381317139,0.012249591760337353,0.004768276587128639,0.0029572683852165937,0.00011634246038738638,0.006413907743990421,0.0047119795344769955,-0.046860091388225555,-0.0015573827549815178,-0.0013437438756227493,0.08191008120775223,0.3032001554965973,0.10882394015789032,0.5760087966918945,2.0201547145843506,0.0,0.375,0.125,107133.0
