step,Train/mean_reward,Train/mean_episode_length,Loss/value_function,Loss/surrogate,Loss/learning_rate,Policy/mean_noise_std,Episode_Reward/motion_body_pos,Episode_Reward/motion_body_ori,Episode_Reward/motion_body_lin_vel,Episode_Reward/motion_body_ang_vel,Episode_Reward/motion_global_root_pos,Episode_Reward/motion_global_root_ori,Episode_Reward/action_rate_l2,Episode_Reward/joint_limit,Episode_Reward/self_collisions,Metrics/motion/error_anchor_pos,Metrics/motion/error_anchor_rot,Metrics/motion/error_body_pos,Metrics/motion/error_body_rot,Metrics/motion/error_joint_pos,Episode_Termination/time_out,Episode_Termination/anchor_pos,Episode_Termination/anchor_ori,Perf/total_fps
2,-0.8009366989135742,8.699999809265137,0.4470403492450714,-0.013092905282974243,0.00033333332976326346,0.994414210319519,0.015741946175694466,0.005064529832452536,0.00504778977483511,0.00021880760323256254,0.008199423551559448,0.005803096108138561,-0.10129444301128387,-0.004154686350375414,-0.030165648087859154,0.10292887687683105,0.3232562243938446,0.12782661616802216,0.6388031840324402,2.2939748764038086,0.0,0.625,0.2916666865348816,102824.0
5,-0.7834985852241516,9.369999885559082,0.2626025080680847,-0.013025857508182526,6.58436183584854e-05,0.984426736831665,0.01531587541103363,0.005055225919932127,0.0047565181739628315,0.00020960750407539308,0.007982296869158745,0.0057430872693657875,-0.09498714655637741,-0.003871709806844592,-0.02024059370160103,0.10235075652599335,0.3176778554916382,0.12707360088825226,0.6339199542999268,2.2864747047424316,0.0,1.0416667461395264,0.125,104200.0
7,-0.6433019042015076,8.270000457763672,0.21392913162708282,-0.013265920802950859,0.00014814814494457096,0.9772157073020935,0.014741018414497375,0.004971111658960581,0.004405840765684843,0.0001845766673795879,0.007709171622991562,0.005597895011305809,-0.08829575777053833,-0.00347595545463264,-0.015743780881166458,0.09857170283794403,0.31274858117103577,0.12506623566150665,0.6262149214744568,2.273120880126953,0.0,0.625,0.3333333432674408,105340.0
15,-0.4452053904533386,7.710000038146973,0.048192817717790604,-0.014448449946939945,0.00033333332976326346,0.9341293573379517,0.012879628688097,0.004660153761506081,0.0031843509059399366,0.00011569983325898647,0.0067960768938064575,0.0049785468727350235,-0.06524543464183807,-0.0023660981096327305,-0.004213893320411444,0.08816405385732651,0.30222785472869873,0.11908217519521713,0.6074454188346863,2.2364144325256348,0.0,0.2083333432674408,0.0416666679084301,103334.0
16,-0.37927013635635376,7.21999979019165,0.04187406972050667,-0.014862623997032642,0.00014814814494457096,0.9272213578224182,0.012853393331170082,0.0046481783501803875,0.0031771021895110607,0.00011724360228981823,0.006781057454645634,0.004972858354449272,-0.0636826828122139,-0.0022659539245069027,-0.0034680641256272793,0.08786123991012573,0.30285120010375977,0.11854102462530136,0.6091207265853882,2.230156898498535,0.0,0.2083333432674408,0.25,107622.0
17,-0.3586650788784027,7.619999885559082,0.03804474323987961,-0.014025028795003891,9.876543481368572e-05,0.9219405651092529,0.01270073652267456,0.004645354114472866,0.003085550619289279,0.00011210046795895323,0.006702933460474014,0.004915100522339344,-0.06110977753996849,-0.0021520769223570824,-0.0029770059045404196,0.08738790452480316,0.30144649744033813,0.11806665360927582,0.6059336066246033,2.2230305671691895,0.0,0.0,0.2083333432674408,107205.0
21,-0.262154221534729,7.050000190734863,0.01776285655796528,-0.015880359336733818,9.876543481368572e-05,0.8956001400947571,0.012373092584311962,0.0046027484349906445,0.002926589921116829,0.00010478660988155752,0.006537940353155136,0.004799057729542255,-0.05416060611605644,-0.0017546869348734617,-0.0016616005450487137,0.08453471958637238,0.30047887563705444,0.1161990761756897,0.6007109880447388,2.1989595890045166,0.0,0.2083333432674408,0.5416666865348816,107585.0
22,-0.2676547169685364,7.110000133514404,0.015259475447237492,-0.016502980142831802,0.00014814814494457096,0.8892197608947754,0.012278765439987183,0.0045990231446921825,0.0028795197140425444,0.0001056553956004791,0.006488572806119919,0.004771246574819088,-0.05229223892092705,-0.0017127085011452436,-0.0016333669191226363,0.08426075428724289,0.3006870150566101,0.11561773717403412,0.5988109707832336,2.191399335861206,0.0,0.1666666716337204,0.4166666865348816,104864.0
23,-0.2082679271697998,6.809999942779541,0.014070282690227032,-0.016298141330480576,9.876543481368572e-05,0.8832234144210815,0.01216778066009283,0.004616193473339081,0.002839217893779278,0.00010457573080202565,0.006430068053305149,0.004743150435388088,-0.05043916031718254,-0.0016112576704472303,-0.0011803770903497934,0.08343206346035004,0.29853999614715576,0.11481460183858871,0.5960797667503357,2.1801304817199707,0.0,0.0833333358168602,0.375,106580.0
28,-0.15235181152820587,6.559999942779541,0.009544271044433117,-0.012486870400607586,9.999999747378752e-06,0.8576319217681885,0.011894568800926208,0.004574906080961227,0.002726194215938449,9.995730215450749e-05,0.006294827908277512,0.004665551707148552,-0.04390886425971985,-0.0012749242596328259,-0.0008213522378355265,0.08095604926347733,0.29564470052719116,0.11307629197835922,0.5926758646965027,2.1674585342407227,0.0,0.0416666679084301,0.4166666865348816,107005.0
30,-0.14723020792007446,6.630000114440918,0.0072784717194736,-0.01727011427283287,5.062499985797331e-05,0.8478142619132996,0.011804996058344841,0.004585293121635914,0.002691510831937194,0.00010069530981127173,0.006243207957595587,0.004656820558011532,-0.04190657287836075,-0.001237613381817937,-0.0007409538957290351,0.08071549981832504,0.2921125590801239,0.11233735084533691,0.5905689597129822,2.1595706939697266,0.0,0.0416666679084301,0.4583333432674408,107204.0
