step,Train/mean_reward,Train/mean_episode_length,Loss/value_function,Loss/surrogate,Loss/learning_rate,Policy/mean_noise_std,Episode_Reward/motion_body_pos,Episode_Reward/motion_body_ori,Episode_Reward/motion_body_lin_vel,Episode_Reward/motion_body_ang_vel,Episode_Reward/motion_global_root_pos,Episode_Reward/motion_global_root_ori,Episode_Reward/action_rate_l2,Episode_Reward/joint_limit,Episode_Reward/self_collisions,Metrics/motion/error_anchor_pos,Metrics/motion/error_anchor_rot,Metrics/motion/error_body_pos,Metrics/motion/error_body_rot,Metrics/motion/error_joint_pos,Episode_Termination/time_out,Episode_Termination/anchor_pos,Episode_Termination/anchor_ori,Perf/total_fps
2,-1.5266313552856445,12.979999542236328,0.6470746397972107,-0.013078301213681698,0.00022222222469281405,0.9929628968238831,0.02064257115125656,0.0062809600494802,0.007237812038511038,0.0003484338230919093,0.010460177436470985,0.0067189219407737255,-0.13702042400836945,-0.006445344537496567,-0.054548949003219604,0.14669448137283325,0.44891247153282166,0.1437055617570877,0.6623241901397705,2.0025546550750732,0.0,3.4166667461395264,0.5833333730697632,104653.0
5,-0.9282087683677673,10.699999809265137,0.4108099341392517,-0.011175597086548805,9.999999747378752e-06,0.9858160614967346,0.019757496193051338,0.006173198111355305,0.006710972171276808,0.00031801467412151396,0.010063866153359413,0.006563536822795868,-0.1265513151884079,-0.005776065867394209,-0.03848777711391449,0.13982009887695312,0.4333569407463074,0.14014607667922974,0.6567254662513733,1.9976571798324585,0.0,2.5416667461395264,0.2916666865348816,103628.0
7,-0.900654137134552,10.970000267028809,0.2568354606628418,-0.00900771003216505,9.999999747378752e-06,0.9814926385879517,0.019011544063687325,0.006104863248765469,0.006310450844466686,0.00029518152587115765,0.009717652574181557,0.006449650973081589,-0.1187572106719017,-0.005340974777936935,-0.025515016168355942,0.13436083495616913,0.4206817150115967,0.13854941725730896,0.652657687664032,1.9991520643234253,0.0,3.0416667461395264,0.375,106197.0
15,-0.5025315284729004,9.130000114440918,0.05892246216535568,-0.015845315530896187,0.00017085937724914402,0.9519878029823303,0.015951497480273247,0.005664371885359287,0.004537652712315321,0.00019720049749594182,0.00827227346599102,0.005641581024974585,-0.08677580207586288,-0.0038789520040154457,-0.006364825181663036,0.11493484675884247,0.3889022767543793,0.12988653779029846,0.6264716982841492,1.961896300315857,0.0,1.7916667461395264,0.125,104933.0
16,-0.5406346917152405,9.199999809265137,0.04594757407903671,-0.016334567219018936,0.00011390625149942935,0.9467867016792297,0.015693116933107376,0.005611563101410866,0.0044100116938352585,0.000193637257325463,0.008150803856551647,0.005570077802985907,-0.08370296657085419,-0.0036705525126308203,-0.005803087260574102,0.11346966028213501,0.38643622398376465,0.12880653142929077,0.621859610080719,1.9594953060150146,0.0,1.2916667461395264,0.1666666716337204,105194.0
17,-0.4982578456401825,8.890000343322754,0.041856590658426285,-0.01440892182290554,0.00011390625149942935,0.9422071576118469,0.015475837513804436,0.005575693678110838,0.004282286390662193,0.00018352903134655207,0.008046397939324379,0.00548982759937644,-0.08101043850183487,-0.0035426083486527205,-0.005178647115826607,0.11154907941818237,0.386828750371933,0.12828949093818665,0.6230827569961548,1.953764796257019,0.0,1.2083333730697632,0.0416666679084301,106326.0
21,-0.4229375720024109,8.680000305175781,0.026376137509942055,-0.017020901665091515,0.00017085937724914402,0.917576253414154,0.014619514346122742,0.0054999119602143764,0.0038745147176086903,0.00017055489297490567,0.00761374831199646,0.005262269638478756,-0.06968643516302109,-0.0029014768078923225,-0.003525280859321356,0.1054910346865654,0.3737888038158417,0.12388914078474045,0.6091485023498535,1.928249716758728,0.0,1.2083333730697632,0.0833333358168602,106179.0
22,-0.37415018677711487,8.470000267028809,0.018588151782751083,-0.018623536452651024,0.00011390625149942935,0.9115830063819885,0.014383336529135704,0.005481387954205275,0.0037816078402101994,0.0001667925389483571,0.007506420835852623,0.005214712582528591,-0.06676258146762848,-0.002688818145543337,-0.0031921600457280874,0.10318802297115326,0.37076279520988464,0.12279903888702393,0.6050728559494019,1.921935796737671,0.0,0.625,0.0,106911.0
23,-0.3096037805080414,7.559999942779541,0.019833432510495186,-0.015245020389556885,7.593750342493877e-05,0.9073355793952942,0.014263573102653027,0.005444999318569899,0.0036973711103200912,0.0001650264603085816,0.0074357702396810055,0.005145750939846039,-0.06476958096027374,-0.0025844844058156013,-0.0031656937208026648,0.10232647508382797,0.3706895709037781,0.12221215665340424,0.6039321422576904,1.9182032346725464,0.0,0.5833333730697632,0.0833333358168602,106062.0
28,-0.27859780192375183,8.130000114440918,0.009968234226107597,-0.020879698917269707,0.0002562890585977584,0.8754509091377258,0.013636421412229538,0.005398412700742483,0.0034389912616461515,0.00015898048877716064,0.007122346665710211,0.0049896202981472015,-0.05545283481478691,-0.0020219124853610992,-0.0024053300730884075,0.0969407856464386,0.3608618676662445,0.11841243505477905,0.5930607318878174,1.895472526550293,0.0,0.3333333432674408,0.125,104857.0
30,-0.20549382269382477,7.309999942779541,0.008117972873151302,-0.018105633556842804,0.00017085937724914402,0.8614193201065063,0.013533047400414944,0.005421432666480541,0.0033912104554474354,0.00016651127953082323,0.007062343414872885,0.004985257517546415,-0.051962219178676605,-0.0018321851966902614,-0.0020083810668438673,0.09683428704738617,0.35537219047546387,0.11770754307508469,0.5892214775085449,1.8936023712158203,0.0,0.25,0.0,108749.0
32,-0.14912328124046326,7.179999828338623,0.0065527791157364845,-0.02100428007543087,0.00017085937724914402,0.8470944762229919,0.013423080556094646,0.0054124630987644196,0.0033655348233878613,0.0001692527876002714,0.007009058725088835,0.004994613118469715,-0.04897350072860718,-0.0016476432792842388,-0.0018257319461554289,0.0948929414153099,0.3495575785636902,0.11662612855434418,0.5854403972625732,1.8868846893310547,0.0,0.0833333358168602,0.0,107671.0
37,-0.11330916732549667,7.25,0.004519392736256123,-0.020133934915065765,0.00011390625149942935,0.8225964307785034,0.013165711425244808,0.00542314862832427,0.0032848739065229893,0.00017639141879044473,0.00686379661783576,0.0049885655753314495,-0.04319840669631958,-0.0013688219478353858,-0.0016040824120864272,0.09369279444217682,0.3361358046531677,0.11435739696025848,0.5777066349983215,1.8743906021118164,0.0,0.0833333358168602,0.0833333358168602,108863.0
39,-0.1046251654624939,7.25,0.004510038066655397,-0.019727110862731934,0.00011390625149942935,0.8103795647621155,0.013150408864021301,0.005471447017043829,0.003295785514637828,0.0001876523019745946,0.006849977187812328,0.005001649260520935,-0.041224218904972076,-0.0012707322603091598,-0.001588817685842514,0.0934440940618515,0.3320334851741791,0.11372333019971848,0.5735864639282227,1.874291181564331,0.0,0.125,0.0416666679084301,106711.0
42,-0.08667198568582535,7.389999866485596,0.003812063718214631,-0.020733879879117012,0.00017085937724914402,0.7940002679824829,0.013119876384735107,0.005542343016713858,0.00333521980792284,0.00020227731147315353,0.006830180995166302,0.005033000372350216,-0.03871762007474899,-0.0011185347102582455,-0.0014721940970048308,0.09260612726211548,0.32726913690567017,0.11274367570877075,0.5666123032569885,1.8649909496307373,0.0,0.0,0.0,110121.0
49,-0.01779337413609028,7.210000038146973,0.004848061129450798,-0.009222010150551796,0.00011390625149942935,0.7666452527046204,0.013246094807982445,0.005714470520615578,0.0034769196063280106,0.00023954622156452388,0.006887572817504406,0.005179029889404774,-0.03473886474967003,-0.0008837028290145099,-0.0012887339107692242,0.09255129098892212,0.3127307891845703,0.1119953989982605,0.5591841340065002,1.8661640882492065,0.0,0.0416666679084301,0.0,106402.0
