2.8659956455,-0.3734847605,0.8025591969,-0.1083644778,-0.0007340744,-0.9931892753,0.0427979343,0.2001323104,0.1162346900,0.4624660611,0.0677808225,-0.3001049459,0.0547721758,0.1358448416,-0.3809955120,-0.5089700222,0.1763937026,0.0268527996,-0.0217446648,-0.2945683599,0.0604862012,0.0432789177,0.2696496248,0.3311315775,-0.4151044786,0.6639144421,-0.0013872517,0.1200265512,-0.1692233831,-0.3009248972,-0.4494313300,-0.3466804624,-0.2783456743,0.2894616127,-0.2159428149,-0.5883111358
2.8768408298,-0.3700510561,0.8014494777,-0.1024826467,-0.0122369146,-0.9937305450,0.0429793298,0.1538260281,0.1010285467,0.4277169108,0.0913042650,-0.2695810497,0.0738583133,0.0228036307,-0.4498632848,-0.4437738955,0.3304935694,-0.0114630740,0.0069377315,-0.1784647703,0.0163390804,0.0832624435,0.0207713228,0.3350902498,-0.5035982132,0.9745324254,-0.0359879434,-0.0535892397,-0.2207154036,-0.3783337176,-0.5807511806,-0.3423087299,-0.3121329844,0.2779002488,-0.3028205633,-0.8228496313
2.8746645451,-0.3628032207,0.8048743010,-0.1015427709,-0.0131685305,-0.9935314655,0.0491006300,0.1521244943,0.1034837514,0.4136686921,0.0843719691,-0.2622643113,0.0712240413,0.0433795676,-0.4435660839,-0.4693520069,0.3184050024,-0.0246792324,0.0145754693,-0.1300856918,0.0121481679,0.0837514848,0.0033890787,0.3387586772,-0.5364450812,0.9809991121,-0.0282400195,-0.0687826797,-0.2179412693,-0.4291728735,-0.6145002246,-0.3184312582,-0.3830709159,0.2396446615,-0.3111585677,-0.8094867468
2.8734025955,-0.3569461107,0.8046698570,-0.0987395346,-0.0146205230,-0.9932284951,0.0594462976,0.1432521194,0.1042186543,0.3962943256,0.0734357089,-0.2500983477,0.0664928406,0.0633222088,-0.4398042262,-0.5011107326,0.3033892214,-0.0308501162,0.0238957629,-0.0787524134,0.0053361114,0.0845247656,-0.0111841643,0.3440397978,-0.5659660101,0.9755368829,-0.0219573285,-0.0839537755,-0.2210302055,-0.4800943136,-0.6391412020,-0.2728674114,-0.4773684144,0.2159464508,-0.3238541782,-0.7798154354
2.8736956120,-0.3496932089,0.8069470525,-0.0966504514,-0.0153605426,-0.9927703142,0.0694967881,0.1356063783,0.1083840802,0.3816090524,0.0605718419,-0.2331160009,0.0585956164,0.0851834118,-0.4324150085,-0.5368928313,0.2857278585,-0.0402122624,0.0362180062,-0.0302598998,-0.0014477976,0.0913662240,-0.0269253869,0.3484360278,-0.5879240632,0.9651486874,-0.0181749854,-0.0995823145,-0.2253291905,-0.5143551230,-0.6510027051,-0.2097459882,-0.5637809038,0.2213107049,-0.3398148417,-0.7305447459
2.8719158173,-0.3416892886,0.8072804213,-0.0935551897,-0.0156999975,-0.9922712445,0.0799922422,0.1254077107,0.1154098138,0.3638773561,0.0472226329,-0.2090379596,0.0482733510,0.1035726219,-0.4196019173,-0.5670223236,0.2624019384,-0.0460844599,0.0525129735,0.0041403570,-0.0089720562,0.0939002931,-0.0321658477,0.3530962467,-0.5948924422,0.9525915980,-0.0158591326,-0.1122566909,-0.2269642651,-0.5424334407,-0.6681336164,-0.1596806943,-0.6374328136,0.2053274363,-0.3394035995,-0.6638602614
2.8722021580,-0.3328390121,0.8086982369,-0.0911955386,-0.0148698008,-0.9916016459,0.0904898420,0.1175495014,0.1288382858,0.3589378297,0.0366758741,-0.1842128634,0.0392917432,0.1203114837,-0.4019807279,-0.5913408995,0.2413323075,-0.0553971827,0.0600718372,0.0319050141,-0.0149206752,0.0995982811,-0.0333329700,0.3559968472,-0.5955566764,0.9408476353,-0.0163342692,-0.1228519306,-0.2247398198,-0.5584383011,-0.6755947471,-0.1035228148,-0.6934593916,0.2176168859,-0.3389832973,-0.5918626189
2.8690717220,-0.3240781128,0.8098499179,-0.0894775912,-0.0131235905,-0.9910588861,0.0981010497,0.1118442193,0.1490671486,0.3645978868,0.0283241607,-0.1578252465,0.0294951405,0.1358121037,-0.3775731027,-0.6121063828,0.2145466655,-0.0691486746,0.0654276311,0.0497328229,-0.0192946084,0.1060967371,-0.0337308571,0.3560723662,-0.5832480788,0.9304080009,-0.0094744032,-0.1299058050,-0.2205167413,-0.5573209524,-0.6778025031,-0.0545643866,-0.7263376713,0.2190550268,-0.3320783377,-0.5309900045
2.8677237034,-0.3138215542,0.8090969920,-0.0883393437,-0.0108810756,-0.9901492596,0.1080842167,0.1052494943,0.1713892817,0.3696383834,0.0229767542,-0.1329159290,0.0239813477,0.1530176699,-0.3554794192,-0.6406573653,0.2027450800,-0.0847404003,0.0597663149,0.0633210689,-0.0220573638,0.1145588607,-0.0338196941,0.3536722362,-0.5718811750,0.9220319390,-0.0050200662,-0.1328713447,-0.2134637535,-0.5465096235,-0.6709800959,-0.0012117338,-0.7394829988,0.2541858256,-0.3309293389,-0.4756929874
2.8634037971,-0.3041533828,0.8104874492,-0.0880394503,-0.0081702629,-0.9893348217,0.1157538518,0.0979788452,0.1955531687,0.3774097562,0.0236171801,-0.1036307216,0.0190862976,0.1696983129,-0.3327481151,-0.6632534862,0.1917399317,-0.0992151648,0.0520043410,0.0695027858,-0.0231667776,0.1230834499,-0.0324016064,0.3467605412,-0.5565513968,0.9199035168,0.0011173737,-0.1308897585,-0.2039419115,-0.5236169696,-0.6600114703,0.0460052900,-0.7267507911,0.2907037735,-0.3237099648,-0.4301495850
