2.87128282,-0.35045692,0.81862855,-0.09874517,-0.01115850,-0.99282104,0.06656749,0.14359465,0.12281319,0.40320793,0.06481674,-0.22987862,0.05488275,0.09250616,-0.41110981,-0.52960992,0.26347670,-0.03258152,0.02344180,-0.09110793,0.00898407,0.08656193,0.02343175,0.13497262,-0.20667404,0.36405313,-0.00194757,-0.01364743,-0.08587398,-0.45241481,-0.60645562,-0.22304326,-0.47057858,0.24981049,-0.30381805,-0.67931491
2.87109661,-0.34918812,0.81877768,-0.09856400,-0.01113121,-0.99274957,0.06789378,0.14215763,0.12475727,0.40210679,0.06441338,-0.22641286,0.05403416,0.09456201,-0.40924126,-0.53301668,0.26225382,-0.03451842,0.02417225,-0.08610923,0.00808936,0.08771461,0.02162706,0.13577406,-0.20883530,0.36667782,-0.00168881,-0.01560776,-0.08638638,-0.45531750,-0.60819238,-0.21553503,-0.47320220,0.25043875,-0.30395550,-0.67371273
2.87072110,-0.34669438,0.81906748,-0.09823722,-0.01106241,-0.99260253,0.07047930,0.13934927,0.12865563,0.40000620,0.06376160,-0.21959980,0.05237635,0.09863149,-0.40549985,-0.53964138,0.25987205,-0.03832548,0.02550933,-0.07648665,0.00639006,0.08999012,0.01822844,0.13743322,-0.21312901,0.37189150,-0.00132048,-0.01934129,-0.08738308,-0.46087593,-0.61139899,-0.20080441,-0.47723681,0.25181183,-0.30402195,-0.66267800
2.87015319,-0.34306046,0.81948155,-0.09783243,-0.01092695,-0.99237317,0.07419470,0.13529171,0.13451909,0.39708629,0.06315935,-0.20967019,0.04998592,0.10462545,-0.39988765,-0.54911590,0.25646523,-0.04387559,0.02722477,-0.06293431,0.00405521,0.09333274,0.01361161,0.14006266,-0.21951994,0.37962908,-0.00114705,-0.02450698,-0.08881319,-0.46865788,-0.61558485,-0.17939986,-0.48038507,0.25412920,-0.30362955,-0.64655703
2.86939168,-0.33840612,0.81999767,-0.09744276,-0.01069444,-0.99205440,0.07885776,0.13014756,0.14234224,0.39356411,0.06302283,-0.19695595,0.04697230,0.11240024,-0.39243045,-0.56091070,0.25224456,-0.05099205,0.02902160,-0.04636772,0.00131279,0.09766673,0.00823624,0.14382808,-0.22800010,0.38980103,-0.00163539,-0.03066939,-0.09061116,-0.47815168,-0.62011129,-0.15208988,-0.47951376,0.25761434,-0.30226478,-0.62588102
2.86844301,-0.33287850,0.82058930,-0.09717736,-0.01033606,-0.99164128,0.08424532,0.12410123,0.15208293,0.38964519,0.06384952,-0.18187432,0.04347074,0.12175078,-0.38319713,-0.57436275,0.24750027,-0.05946080,0.03057975,-0.02780383,-0.00157603,0.10290280,0.00254918,0.14893757,-0.23861632,0.40227878,-0.00341573,-0.03736952,-0.09270204,-0.48889181,-0.62428498,-0.11980591,-0.47100353,0.26244387,-0.29935908,-0.60136366
2.86732364,-0.32664391,0.82122797,-0.09715033,-0.00983053,-0.99113369,0.09010633,0.11734248,0.16364358,0.38547978,0.06616857,-0.16490774,0.03963279,0.13240640,-0.37231329,-0.58870786,0.24259180,-0.06904180,0.03160374,-0.00824401,-0.00434336,0.10894269,-0.00310710,0.15561916,-0.25147131,0.41684771,-0.00727009,-0.04419243,-0.09500214,-0.50056863,-0.62744808,-0.08357991,-0.45117670,0.26868325,-0.29436716,-0.57387936
2.86606359,-0.31987941,0.82188529,-0.09746848,-0.00916840,-0.99053836,0.09617468,0.11005558,0.17685707,0.38113332,0.07048251,-0.14658163,0.03561484,0.14403252,-0.35996661,-0.60311985,0.23792283,-0.07947688,0.03186479,0.01141945,-0.00673878,0.11568094,-0.00856423,0.16408609,-0.26669079,0.43312714,-0.01409825,-0.05081802,-0.09740958,-0.51309961,-0.62905115,-0.04448208,-0.41675895,0.27624351,-0.28684303,-0.54441786
2.86470628,-0.31276554,0.82253450,-0.09821925,-0.00835342,-0.98986983,0.10218032,0.10241566,0.19148201,0.37658048,0.07720449,-0.12743968,0.03156618,0.15623872,-0.34640020,-0.61675012,0.23390180,-0.09049343,0.03123109,0.03045916,-0.00854895,0.12300234,-0.01386724,0.17449443,-0.28436026,0.45048112,-0.02486109,-0.05705063,-0.09978965,-0.52663857,-0.62869740,-0.00356432,-0.36533663,0.28486502,-0.27650476,-0.51401854
2.86330700,-0.30548033,0.82315201,-0.09946016,-0.00740158,-0.98915094,0.10785814,0.09459300,0.20720685,0.37172285,0.08659863,-0.10801907,0.02761759,0.16859321,-0.33189750,-0.62876880,0.23089390,-0.10180571,0.02968382,0.04832964,-0.00961181,0.13077658,-0.01928028,0.18688768,-0.30442810,0.46791598,-0.04049893,-0.06282166,-0.10194758,-0.54152769,-0.62615556,0.03818778,-0.29573396,0.29414004,-0.26328084,-0.48369354
