step,Episode_Reward_action_rate_l2,Episode_Reward_joint_limit,Episode_Reward_motion_body_ang_vel,Episode_Reward_motion_body_lin_vel,Episode_Reward_motion_body_ori,Episode_Reward_motion_body_pos,Episode_Reward_motion_global_root_ori,Episode_Reward_motion_global_root_pos,Episode_Reward_self_collisions,Episode_Termination_anchor_ori,Episode_Termination_anchor_pos,Episode_Termination_ee_body_pos,Episode_Termination_time_out,Loss_entropy,Loss_learning_rate,Loss_surrogate,Loss_value_function,Metrics_motion_error_anchor_ang_vel,Metrics_motion_error_anchor_lin_vel,Metrics_motion_error_anchor_pos,Metrics_motion_error_anchor_rot,Metrics_motion_error_body_ang_vel,Metrics_motion_error_body_lin_vel,Metrics_motion_error_body_pos,Metrics_motion_error_body_rot,Metrics_motion_error_joint_pos,Metrics_motion_error_joint_vel,Metrics_motion_sampling_entropy,Metrics_motion_sampling_top1_bin,Metrics_motion_sampling_top1_prob,Perf_collection time,Perf_learning_time,Perf_total_fps,Policy_mean_noise_std,Train_mean_episode_length,Train_mean_episode_length_time,Train_mean_reward,Train_mean_reward_time
39,-0.034465890377759933,-0.0011296669254079461,7.882983481977135e-05,0.0026203026063740253,0.004456426482647657,0.011228887364268303,0.004404410719871521,0.005818852689117193,-0.0011371950386092067,0.0,0.0416666679084301,667.625,0.0,36.29436492919922,7.593750342493877e-05,-0.015350689180195332,0.003486567409709096,4.065848350524902,0.9080414772033691,0.07820555567741394,0.27909335494041443,,,0.09475710242986679,0.5623785257339478,2.076723337173462,27.246755599975586,0.9754700660705566,0.692307710647583,0.10778398811817169,0.5732443332672119,0.060521841049194336,155110.0,0.8446269631385803,6.190000057220459,,-0.07689923793077469,
40,,,,,,,,,,,,,,,,,,,,,,8.119119644165039,1.3734464645385742,,,,,,,,,,,,,,,
42,-0.03303440660238266,-0.0010854845168069005,8.537880785297602e-05,0.0026577624958008528,0.0045152991078794,0.011271141469478607,0.004457390867173672,0.00583136361092329,-0.0011582770384848118,0.0,0.0,664.1666870117188,0.0,35.7939338684082,0.00011390625149942935,-0.018460245802998543,0.0030286498367786407,4.075469493865967,0.9056181907653809,0.07935521751642227,0.2744203209877014,,,0.09474015235900879,0.5579528212547302,2.076695442199707,27.061506271362305,0.9752167463302612,0.692307710647583,0.10792218148708344,0.574944257736206,0.052335262298583984,156714.0,0.8295584321022034,6.159999847412109,,-0.056054938584566116,
43,,,,,,,,,,,,,,,,,,,,,,8.074602127075195,1.3682785034179688,,,,,,,,,,,,,6.449999809265137,,0.029111653566360474
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.840000152587891,,0.012613731436431408
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.360000133514404,,0.025174181908369064
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.050000190734863,,0.03245577588677406
49,-0.03081461414694786,-0.0009840449783951044,9.864393359748647e-05,0.002744106575846672,0.0046276068314909935,0.01139724813401699,0.004566600546240807,0.00589620228856802,-0.0010194944916293025,0.0,0.0416666679084301,655.5416870117188,0.0,35.038455963134766,7.593750342493877e-05,-0.015306634828448296,0.0027416683733463287,4.084676742553711,0.9098547697067261,0.07947647571563721,0.2670433223247528,,,0.0950113832950592,0.5547422170639038,2.083564281463623,26.958484649658203,0.9745237231254578,0.692307710647583,0.10814925283193588,0.5792398452758789,0.054593563079833984,155094.0,0.8088001012802124,6.579999923706055,,-0.043543729931116104,
50,,,,,,,,,,,,,,,,,,,,,,8.026711463928223,1.3688266277313232,,,,,,,,,,,,,,,
51,-0.03018488548696041,-0.0009392604697495699,0.00010571058373898268,0.0028045461513102055,0.004675491247326136,0.01146718766540289,0.00461688032373786,0.005927622318267822,-0.0009522829204797745,0.0,0.0833333358168602,650.0,0.0,34.7498664855957,0.00011390625149942935,-0.016341624781489372,0.0023954594507813454,4.061825752258301,0.9002728462219238,0.07954549789428711,0.26435405015945435,,,0.09476488828659058,0.5519053936004639,2.0902860164642334,26.797828674316406,0.9743756055831909,0.692307710647583,0.1082565113902092,0.5784010887145996,0.05333375930786133,155609.0,0.8003858327865601,6.150000095367432,6.949999809265137,-0.03492245078086853,0.041911009699106216
52,-0.029749266803264618,-0.0009294126648455858,0.0001084820250980556,0.002808177378028631,0.00470801442861557,0.01145219337195158,0.004610782023519278,0.0059203277342021465,-0.0009660657960921526,0.0,0.0,655.7083740234375,0.0,34.61127853393555,7.593750342493877e-05,-0.015775226056575775,0.00253081601113081,4.04933500289917,0.8987362384796143,0.07916860282421112,0.2631705701351166,7.9900312423706055,1.3658342361450195,0.0942990630865097,0.5475431680679321,2.079106092453003,26.75655174255371,0.9742867350578308,0.692307710647583,0.10837837308645248,0.580324649810791,0.05568552017211914,154563.0,0.7968503832817078,6.400000095367432,,-0.018766243010759354,
53,,,,,,,,,,,,,,,,,,,,,,7.966242790222168,1.36406409740448,,,,,,,,,,,,,6.989999771118164,,0.053578104823827744
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,0.08586811274290085
56,-0.029316497966647148,-0.0008861906244419515,0.00012354138016235083,0.0029288134537637234,0.004819339141249657,0.011656715534627438,0.004707278683781624,0.006018402986228466,-0.0009285389678552747,0.0,0.1666666716337204,642.6666870117188,0.0,34.29508972167969,0.00011390625149942935,-0.010427606292068958,0.0024477222468703985,4.046212673187256,0.9009910821914673,0.08081238716840744,0.2624635696411133,,,0.09534873813390732,0.5479981899261475,2.0853190422058105,26.426681518554688,0.9738724231719971,0.692307710647583,0.10860055685043335,0.5747790336608887,0.05273938179016113,156655.0,0.7882148623466492,6.369999885559082,,-0.014569737017154694,
57,,,,,,,,,,,,,,,,,,,,,,7.90202522277832,1.3556708097457886,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.25,,0.08076002448797226
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.739999771118164,,0.09523370862007141
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.729999542236328,,0.1358950287103653
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.15999984741211,,0.12693244218826294
66,-0.028185715898871422,-0.0008120069978758693,0.00016392921679653227,0.003273388836532831,0.00511159235611558,0.012145616114139557,0.004973301198333502,0.006252992898225784,-0.0009240255458280444,0.0,0.0833333358168602,617.375,0.0,33.30752182006836,0.00011390625149942935,-0.007560746744275093,0.004279222339391708,4.042069435119629,0.8841913938522339,0.08275588601827621,0.2546362280845642,,,0.09544145315885544,0.5381714701652527,2.0749363899230957,25.620868682861328,0.9729732871055603,0.692307710647583,0.10917475074529648,0.5866177082061768,0.0562283992767334,152919.0,0.7620179653167725,6.449999809265137,11.010000228881836,0.029111653566360474,0.1447753608226776
67,-0.028159594163298607,-0.0007796687423251569,0.00017111666966229677,0.003304577199742198,0.005144433584064245,0.012210424058139324,0.004983099177479744,0.006286207586526871,-0.0009058373398147523,0.0,0.0,612.1666870117188,0.0,33.20136260986328,7.593750342493877e-05,-0.014978055842220783,0.0020725156646221876,4.0241379737854,0.8793609142303467,0.08251172304153442,0.25602787733078003,7.640132427215576,1.3217127323150635,0.09525787830352783,0.5382388830184937,2.0719354152679443,25.529232025146484,0.9728643894195557,0.692307710647583,0.10914836823940277,0.5800230503082275,0.05547618865966797,154687.0,0.7591910362243652,6.840000152587891,,0.012613731436431408,
68,,,,,,,,,,,,,,,,,,,,,,7.605213165283203,1.31833815574646,,,,,,,,,,,,,11.489999771118164,,0.14470216631889343
69,-0.028089869767427444,-0.0007924216333776712,0.0001814584102248773,0.003404277143999934,0.005215439014136791,0.012371078133583069,0.005064033903181553,0.00636505801230669,-0.0008090143091976643,0.0,0.0833333358168602,605.0,0.0,33.00810623168945,3.3749998692655936e-05,-0.009582540951669216,0.0028317964170128107,3.9849698543548584,0.8807162046432495,0.0837915763258934,0.25454428791999817,,,0.09601560235023499,0.5373438596725464,2.0822720527648926,25.373016357421875,0.9726877212524414,0.692307710647583,0.10918229073286057,0.5845487117767334,0.0535430908203125,154059.0,0.7547030448913574,7.360000133514404,13.779999732971191,0.025174181908369064,0.1606784611940384
70,,,,,,,,,,,,,,,,,,,,,,7.5382184982299805,1.310421347618103,,,,,,,,,,,,,13.899999618530273,,0.1816345900297165
72,-0.02812911570072174,-0.0007880383636802435,0.0002049567992798984,0.0035658814013004303,0.005367167294025421,0.01259643118828535,0.005184285342693329,0.006472220178693533,-0.0009500621818006039,0.0,0.0833333358168602,592.875,0.0,32.79286575317383,9.999999747378752e-06,-0.008462592959403992,0.0035693212412297726,3.956216812133789,0.8744761347770691,0.08508163690567017,0.2522607445716858,,,0.09628977626562119,0.5333281755447388,2.070722818374634,25.116634368896484,0.9724739789962769,0.692307710647583,0.10918018221855164,0.5858776569366455,0.05350542068481445,153748.0,0.7492572069168091,7.050000190734863,16.350000381469727,0.03245577588677406,0.23022279143333435
73,,,,,,,,,,,,,,,,,,,,,,7.4352240562438965,1.2911947965621948,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.469999313354492,,0.2675093114376068
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.6200008392334,,0.30367031693458557
