-0.050197,0.087910,0.827278,-0.038909,0.025022,-0.671692,0.739385,0.004370,0.153345,0.071155,0.129764,0.041572,-0.065660,0.034368,-0.010149,-0.208057,0.145875,0.047837,0.020836,0.035939,0.107314,0.015062,-0.007591,0.049869,-0.197362,0.363315,-0.079265,0.051062,0.032344,-0.027882,-0.092105,0.222113,0.364114,0.059233,0.057871,-0.015374
-0.050192,0.087940,0.827355,-0.038426,0.026159,-0.671841,0.739235,0.002913,0.154092,0.070887,0.127465,0.043212,-0.065785,0.033158,-0.009140,-0.209163,0.142058,0.048829,0.021454,0.034378,0.108317,0.011934,-0.007444,0.048233,-0.195357,0.367602,-0.079347,0.047319,0.032833,-0.028790,-0.091916,0.223777,0.368685,0.061040,0.054221,-0.016487
-0.050272,0.087928,0.827366,-0.038306,0.026331,-0.671971,0.739118,0.002498,0.154294,0.070404,0.127446,0.043136,-0.065999,0.032834,-0.008919,-0.209809,0.141695,0.048524,0.022086,0.034088,0.108372,0.011447,-0.007312,0.048397,-0.194571,0.368298,-0.079228,0.046486,0.032810,-0.028737,-0.092239,0.223427,0.369671,0.061659,0.053338,-0.016737
-0.050270,0.087918,0.827372,-0.038262,0.026384,-0.672101,0.739000,0.002382,0.154453,0.069947,0.127483,0.042987,-0.066218,0.032653,-0.008781,-0.210427,0.141706,0.047979,0.022727,0.034024,0.108314,0.011348,-0.007217,0.048784,-0.194080,0.368383,-0.079160,0.046187,0.032883,-0.028452,-0.092591,0.222819,0.369925,0.062003,0.053011,-0.016989
-0.050532,0.087937,0.827422,-0.038231,0.026273,-0.671721,0.739351,0.002072,0.154395,0.070469,0.127576,0.044510,-0.066096,0.032923,-0.008908,-0.210405,0.141690,0.050307,0.020655,0.034331,0.108094,0.011285,-0.007201,0.048487,-0.194462,0.368199,-0.079062,0.046697,0.032749,-0.028711,-0.093205,0.223264,0.369692,0.061589,0.053089,-0.016855
-0.050705,0.088036,0.827490,-0.038218,0.026152,-0.671575,0.739488,0.001813,0.154512,0.069820,0.127620,0.045662,-0.066446,0.033157,-0.008879,-0.211997,0.141626,0.051339,0.020372,0.034677,0.107914,0.011296,-0.007211,0.048152,-0.194930,0.367931,-0.078873,0.046999,0.032712,-0.028958,-0.093786,0.223812,0.369393,0.061064,0.053270,-0.016591
-0.050967,0.088133,0.827557,-0.038203,0.026030,-0.671422,0.739632,0.001539,0.154624,0.069144,0.127682,0.046804,-0.066799,0.033372,-0.008862,-0.213613,0.141618,0.052332,0.020090,0.034993,0.107735,0.011304,-0.007219,0.047799,-0.195421,0.367650,-0.078676,0.047287,0.032683,-0.029187,-0.094305,0.224453,0.369050,0.060476,0.053482,-0.016295
-0.051029,0.088011,0.827520,-0.038330,0.026065,-0.671191,0.739834,0.002322,0.154692,0.069694,0.127523,0.044794,-0.066455,0.033684,-0.008656,-0.211480,0.141449,0.049109,0.020786,0.034511,0.107823,0.010986,-0.006494,0.047487,-0.195256,0.367542,-0.078719,0.047245,0.032492,-0.029381,-0.095391,0.221145,0.369836,0.062622,0.053018,-0.017310
-0.051119,0.087990,0.827536,-0.038437,0.025943,-0.671032,0.739977,0.002798,0.154809,0.069238,0.127589,0.043883,-0.066539,0.034307,-0.008676,-0.212417,0.141503,0.047860,0.020841,0.034559,0.107750,0.010783,-0.005919,0.047531,-0.195046,0.367513,-0.078774,0.047423,0.032378,-0.029503,-0.096383,0.217625,0.370660,0.064958,0.052424,-0.018296
-0.051211,0.087883,0.827465,-0.038540,0.025826,-0.670862,0.740129,0.003259,0.154923,0.068747,0.127631,0.042996,-0.066626,0.034947,-0.008692,-0.213383,0.141495,0.046643,0.020891,0.034598,0.107665,0.010565,-0.005359,0.047560,-0.194867,0.367510,-0.078833,0.047605,0.032251,-0.029601,-0.097335,0.214084,0.371493,0.067306,0.051802,-0.019289
